ISU,KURS,DATE_START,DATE_END,PRIZNAK,MAIN_PLAN
15759592318230620639,3,2018-09-01,2019-08-31 00:00:00,обучен,2308869398595984949
15759592318230620639,4,2019-09-01,2020-07-09 00:00:00,обучен,2308869398595984949
13806015751261624584,2,2017-09-01,2018-08-31 00:00:00,обучен,14125390921141592015
13806015751261624584,3,2018-09-01,2018-09-01 00:00:00,обучен,14125390921141592015
13806015751261624584,3,2018-09-02,2019-04-09 00:00:00,обучен,14125390921141592015
13806015751261624584,2,2019-04-10,2019-08-31 00:00:00,отчисл,14125390921141592015
13806015751261624584,2,2019-09-01,2020-08-31 00:00:00,обучен,11686819870063525140
13806015751261624584,3,2020-09-01,2020-11-04 00:00:00,обучен,11686819870063525140
4847477995649495063,2,2017-09-01,2018-04-30 00:00:00,обучен,12546660344713025372
4847477995649495063,2,2018-05-01,2018-08-31 00:00:00,обучен,4268629008899220142
4847477995649495063,3,2018-09-01,2018-09-01 00:00:00,обучен,4268629008899220142
4847477995649495063,3,2018-09-02,2018-10-03 00:00:00,обучен,4268629008899220142
4456173831566198143,2,2017-09-01,2018-08-31 00:00:00,обучен,7302235559458623679
4456173831566198143,3,2018-09-01,2018-09-30 00:00:00,обучен,7302235559458623679
7894989788213916004,1,2018-09-01,2019-03-11 00:00:00,обучен,1871881558734096666
7894989788213916004,1,2019-03-12,2019-08-31 00:00:00,отчисл,1871881558734096666
7894989788213916004,1,2019-09-01,2020-04-23 00:00:00,обучен,7233366611242995406
16978579041470007980,2,2017-09-01,2018-04-26 00:00:00,обучен,8468096058207029819
271075593611197357,2,2017-09-01,2018-04-25 00:00:00,обучен,978336095212592939
271075593611197357,2,2018-04-26,2018-08-31 00:00:00,отчисл,978336095212592939
271075593611197357,2,2018-09-01,2019-08-31 00:00:00,обучен,978336095212592939
271075593611197357,3,2019-09-01,2019-11-04 00:00:00,обучен,978336095212592939
16221352727496296442,1,2017-09-01,2018-04-11 00:00:00,обучен,15640730918606426910
9536233128805962858,1,2017-09-01,2017-09-01 00:00:00,обучен,17879660698378496781
9536233128805962858,1,2017-09-02,2018-08-31 00:00:00,обучен,17879660698378496781
9536233128805962858,2,2018-09-01,2019-01-31 00:00:00,обучен,17879660698378496781
9536233128805962858,2,2019-02-01,2019-08-31 00:00:00,обучен,17879660698378496781
9536233128805962858,3,2019-09-01,2019-12-29 00:00:00,обучен,17879660698378496781
9536233128805962858,3,2019-12-30,2020-08-31 00:00:00,обучен,17879660698378496781
9536233128805962858,4,2020-09-01,2020-12-14 00:00:00,обучен,17879660698378496781
9536233128805962858,4,2020-12-15,2021-02-07 00:00:00,отчисл,17879660698378496781
9536233128805962858,3,2021-02-08,2021-08-31 00:00:00,обучен,1871881558734096666
211690825419868263,1,2017-09-01,2017-09-01 00:00:00,обучен,3822626843564218778
211690825419868263,1,2017-09-02,2018-08-31 00:00:00,обучен,3822626843564218778
211690825419868263,2,2018-09-01,2019-08-31 00:00:00,обучен,3822626843564218778
211690825419868263,3,2019-09-01,2020-08-31 00:00:00,обучен,3822626843564218778
211690825419868263,4,2020-09-01,2021-08-30 00:00:00,обучен,3822626843564218778
14905091886463525155,1,2017-09-01,2018-08-31 00:00:00,обучен,1346358098327444141
14905091886463525155,2,2018-09-01,2019-08-31 00:00:00,обучен,1346358098327444141
14905091886463525155,3,2019-09-01,2020-08-31 00:00:00,обучен,1346358098327444141
14905091886463525155,4,2020-09-01,2020-12-30 00:00:00,обучен,1346358098327444141
14905091886463525155,4,2020-12-31,2021-08-30 00:00:00,обучен,1346358098327444141
299455190124019595,1,2017-09-01,2017-09-01 00:00:00,обучен,17879660698378496781
299455190124019595,1,2017-09-02,2018-08-31 00:00:00,обучен,17879660698378496781
299455190124019595,2,2018-09-01,2019-08-31 00:00:00,обучен,17879660698378496781
299455190124019595,3,2019-09-01,2019-11-04 00:00:00,обучен,17879660698378496781
299455190124019595,3,2019-11-05,2020-02-04 00:00:00,отчисл,17879660698378496781
299455190124019595,2,2020-02-05,2020-08-31 00:00:00,обучен,1871881558734096666
299455190124019595,3,2020-09-01,2020-09-01 00:00:00,обучен,1871881558734096666
299455190124019595,3,2020-09-02,2021-04-01 00:00:00,обучен,1871881558734096666
7916718273436749681,1,2017-09-01,2018-08-31 00:00:00,обучен,14021825321935117523
7916718273436749681,2,2018-09-01,2018-12-26 00:00:00,обучен,14021825321935117523
7916718273436749681,2,2018-12-27,2019-08-31 00:00:00,обучен,14021825321935117523
7916718273436749681,3,2019-09-01,2019-12-29 00:00:00,обучен,14021825321935117523
7916718273436749681,3,2019-12-30,2020-08-31 00:00:00,обучен,14021825321935117523
7916718273436749681,4,2020-09-01,2020-12-30 00:00:00,обучен,14021825321935117523
7916718273436749681,4,2020-12-31,2021-06-02 00:00:00,обучен,14021825321935117523
7217042316822723335,1,2017-09-01,2018-08-31 00:00:00,обучен,456834837311593885
7217042316822723335,2,2018-09-01,2018-09-01 00:00:00,обучен,456834837311593885
7217042316822723335,2,2018-09-02,2019-04-29 00:00:00,обучен,456834837311593885
13279264928399361767,1,2017-09-01,2018-08-31 00:00:00,обучен,4276927406706791642
13279264928399361767,2,2018-09-01,2018-09-01 00:00:00,обучен,4276927406706791642
13279264928399361767,2,2018-09-02,2019-05-22 00:00:00,обучен,4276927406706791642
9022195967315801882,1,2017-09-01,2017-09-01 00:00:00,обучен,859090361626613984
9022195967315801882,1,2017-09-02,2017-09-19 00:00:00,обучен,859090361626613984
16132443772339459616,1,2017-09-01,2018-08-31 00:00:00,обучен,1667089195499266627
16132443772339459616,2,2018-09-01,2019-08-31 00:00:00,обучен,1667089195499266627
16132443772339459616,3,2019-09-01,2019-12-29 00:00:00,обучен,1667089195499266627
16132443772339459616,3,2019-12-30,2020-08-31 00:00:00,обучен,1667089195499266627
16132443772339459616,4,2020-09-01,2020-12-30 00:00:00,обучен,1667089195499266627
16132443772339459616,4,2020-12-31,2021-07-01 00:00:00,обучен,1667089195499266627
3610912436624619635,1,2017-09-01,2017-09-01 00:00:00,обучен,3822626843564218778
3610912436624619635,1,2017-09-02,2018-08-31 00:00:00,обучен,3822626843564218778
3610912436624619635,2,2018-09-01,2019-08-31 00:00:00,обучен,3822626843564218778
3610912436624619635,3,2019-09-01,2020-08-31 00:00:00,обучен,3822626843564218778
3610912436624619635,4,2020-09-01,2021-08-30 00:00:00,обучен,3822626843564218778
2202710647299129216,1,2017-09-01,2018-08-31 00:00:00,обучен,15833003524372215010
2202710647299129216,2,2018-09-01,2019-04-21 00:00:00,обучен,15833003524372215010
13437673162273992639,1,2017-09-01,2018-08-31 00:00:00,обучен,15833003524372215010
13437673162273992639,2,2018-09-01,2018-10-08 00:00:00,обучен,15833003524372215010
13437673162273992639,2,2018-10-09,2019-08-31 00:00:00,обучен,15833003524372215010
13437673162273992639,3,2019-09-01,2020-08-31 00:00:00,обучен,15833003524372215010
13437673162273992639,4,2020-09-01,2020-12-30 00:00:00,обучен,15833003524372215010
13437673162273992639,4,2020-12-31,2021-04-08 00:00:00,обучен,15833003524372215010
17921923375179468475,1,2017-09-01,2018-05-10 00:00:00,обучен,15833003524372215010
9029407955990081879,2,2017-09-01,2018-08-31 00:00:00,обучен,456834837311593885
9029407955990081879,3,2018-09-01,2018-09-01 00:00:00,обучен,456834837311593885
9029407955990081879,3,2018-09-02,2018-11-21 00:00:00,обучен,456834837311593885
9029407955990081879,3,2018-11-22,2019-08-31 00:00:00,обучен,456834837311593885
9029407955990081879,4,2019-09-01,2019-10-13 00:00:00,обучен,456834837311593885
9029407955990081879,4,2019-10-14,2020-08-31 00:00:00,академ,456834837311593885
9029407955990081879,4,2020-09-01,2020-10-15 00:00:00,обучен,456834837311593885
16171655938621181957,2,2017-09-01,2017-09-01 00:00:00,обучен,3675111137551044817
16171655938621181957,2,2017-09-02,2018-04-19 00:00:00,обучен,12546660344713025372
6219846680508731887,2,2017-09-01,2018-08-31 00:00:00,обучен,13274724482236486041
6219846680508731887,3,2018-09-01,2018-09-01 00:00:00,обучен,13274724482236486041
6219846680508731887,3,2018-09-02,2018-10-09 00:00:00,обучен,13274724482236486041
6219846680508731887,3,2018-10-10,2019-08-31 00:00:00,академ,13274724482236486041
10345898957161949446,1,2017-09-01,2018-08-31 00:00:00,обучен,9258844286624280093
10345898957161949446,2,2018-09-01,2019-08-31 00:00:00,обучен,9258844286624280093
10345898957161949446,3,2019-09-01,2019-12-29 00:00:00,обучен,9258844286624280093
10345898957161949446,3,2019-12-30,2020-08-31 00:00:00,обучен,9258844286624280093
10345898957161949446,4,2020-09-01,2020-12-30 00:00:00,обучен,9258844286624280093
10345898957161949446,4,2020-12-31,2021-08-30 00:00:00,обучен,9258844286624280093
11789452795048421786,1,2017-09-01,2018-02-04 00:00:00,обучен,14021825321935117523
4198959518700745672,1,2018-09-01,2019-06-05 00:00:00,обучен,7653827751193691771
4198959518700745672,1,2019-06-06,2020-06-05 00:00:00,академ,7653827751193691771
4198959518700745672,1,2020-06-06,2021-05-24 00:00:00,академ,7653827751193691771
9511227261748145036,1,2018-09-01,2019-01-31 00:00:00,обучен,9328733139165468860
5814073529550201294,1,2020-09-01,2021-02-28 00:00:00,обучен,1128657841831847282
10019144244980925172,1,2018-09-01,2019-08-31 00:00:00,обучен,1871881558734096666
10019144244980925172,2,2019-09-01,2020-08-31 00:00:00,обучен,1871881558734096666
10019144244980925172,3,2020-09-01,2021-08-31 00:00:00,обучен,1871881558734096666
11240781444206702551,2,2017-09-01,2018-08-31 00:00:00,обучен,8912727310231304513
11240781444206702551,3,2018-09-01,2018-12-20 00:00:00,обучен,8912727310231304513
11240781444206702551,3,2018-12-21,2019-08-31 00:00:00,обучен,8912727310231304513
11240781444206702551,4,2019-09-01,2019-12-29 00:00:00,обучен,8912727310231304513
11240781444206702551,4,2019-12-30,2020-07-09 00:00:00,обучен,8912727310231304513
2754904746445871563,1,2018-09-01,2019-08-31 00:00:00,обучен,7202649173769482940
2754904746445871563,2,2019-09-01,2020-08-31 00:00:00,обучен,7202649173769482940
2754904746445871563,3,2020-09-01,2021-08-31 00:00:00,обучен,7202649173769482940
6870381862355478069,1,2017-09-01,2017-09-01 00:00:00,обучен,2966781304257289054
6870381862355478069,1,2017-09-02,2018-08-31 00:00:00,обучен,2966781304257289054
6870381862355478069,2,2018-09-01,2018-09-01 00:00:00,обучен,2966781304257289054
6870381862355478069,2,2018-09-02,2019-05-26 00:00:00,обучен,2966781304257289054
9804710815946186533,2,2017-09-01,2018-08-31 00:00:00,обучен,10694750836097034347
9804710815946186533,3,2018-09-01,2019-04-29 00:00:00,обучен,10694750836097034347
11646870631214609037,2,2017-09-01,2018-08-31 00:00:00,обучен,2318124975100570268
11646870631214609037,3,2018-09-01,2018-09-01 00:00:00,обучен,2318124975100570268
11646870631214609037,3,2018-09-02,2019-08-31 00:00:00,обучен,14021825321935117523
11646870631214609037,4,2019-09-01,2020-08-30 00:00:00,обучен,14021825321935117523
14309492505924848884,2,2017-09-01,2018-08-31 00:00:00,обучен,5238507053872376832
14309492505924848884,3,2018-09-01,2019-03-03 00:00:00,обучен,5238507053872376832
6961310112870006098,2,2017-09-01,2018-08-31 00:00:00,обучен,456834837311593885
6961310112870006098,3,2018-09-02,2018-12-23 00:00:00,обучен,456834837311593885
3259723469941892318,2,2017-09-01,2018-08-31 00:00:00,обучен,5238507053872376832
3259723469941892318,3,2018-09-01,2018-11-26 00:00:00,обучен,5238507053872376832
3259723469941892318,3,2018-11-27,2019-08-31 00:00:00,обучен,5238507053872376832
3259723469941892318,4,2019-09-01,2020-08-30 00:00:00,обучен,5238507053872376832
15482195001482259050,1,2017-09-01,2018-04-19 00:00:00,обучен,12199257118377959988
11626875043485703631,1,2017-11-10,2018-08-31 00:00:00,обучен,8931112486619862929
11626875043485703631,2,2018-09-01,2019-02-03 00:00:00,обучен,8931112486619862929
11626875043485703631,2,2019-02-04,2019-08-31 00:00:00,обучен,6502627360976124984
11626875043485703631,3,2019-09-01,2020-04-23 00:00:00,обучен,6502627360976124984
11626875043485703631,3,2020-04-24,2021-08-31 00:00:00,отчисл,6502627360976124984
11626875043485703631,3,2021-09-01,2021-10-22 00:00:00,,7233366611242995406
17668820379502778901,2,2017-09-01,2018-07-01 00:00:00,обучен,18214280441669731119
17668820379502778901,2,2018-07-02,2018-08-31 00:00:00,отчисл,18214280441669731119
17668820379502778901,1,2018-09-01,2018-09-01 00:00:00,обучен,6572811899279529631
17668820379502778901,1,2018-09-02,2019-08-31 00:00:00,обучен,6572811899279529631
17668820379502778901,2,2019-09-01,2019-12-29 00:00:00,обучен,6572811899279529631
17668820379502778901,2,2019-12-30,2020-02-03 00:00:00,обучен,6572811899279529631
17668820379502778901,2,2020-02-04,2020-04-23 00:00:00,обучен,6572811899279529631
8686887686482012504,2,2017-09-01,2018-08-31 00:00:00,обучен,15523103493753161349
8686887686482012504,3,2018-09-01,2018-09-01 00:00:00,обучен,15523103493753161349
8686887686482012504,3,2018-09-02,2019-05-29 00:00:00,обучен,15523103493753161349
8686887686482012504,3,2019-05-30,2019-08-31 00:00:00,обучен,15523103493753161349
8686887686482012504,4,2019-09-01,2019-12-29 00:00:00,обучен,15523103493753161349
8686887686482012504,4,2019-12-30,2020-04-23 00:00:00,обучен,15523103493753161349
8686887686482012504,4,2020-04-24,2020-08-31 00:00:00,отчисл,15523103493753161349
8686887686482012504,4,2020-09-01,2021-05-24 00:00:00,обучен,4276927406706791642
4867858607952397299,1,2017-09-01,2018-08-31 00:00:00,обучен,1667089195499266627
4867858607952397299,2,2018-09-01,2018-10-17 00:00:00,обучен,1667089195499266627
4867858607952397299,2,2018-10-18,2019-08-31 00:00:00,обучен,1667089195499266627
4867858607952397299,3,2019-09-01,2019-12-29 00:00:00,обучен,1667089195499266627
4867858607952397299,3,2019-12-30,2020-08-31 00:00:00,обучен,1667089195499266627
4867858607952397299,4,2020-09-01,2021-07-01 00:00:00,обучен,1667089195499266627
872856476066366916,3,2017-09-01,2017-10-30 00:00:00,обучен,14111333646860223792
872856476066366916,3,2017-10-31,2018-08-31 00:00:00,отчисл,14111333646860223792
872856476066366916,1,2018-09-01,2018-09-01 00:00:00,обучен,6572811899279529631
872856476066366916,1,2018-09-02,2018-10-24 00:00:00,обучен,6572811899279529631
872856476066366916,1,2018-10-25,2019-10-27 00:00:00,академ,6572811899279529631
872856476066366916,1,2019-10-28,2020-08-31 00:00:00,обучен,10435077932447846356
872856476066366916,2,2020-09-01,2021-02-07 00:00:00,обучен,10435077932447846356
872856476066366916,2,2021-02-08,2021-02-25 00:00:00,обучен,10435077932447846356
14474819382042716420,3,2017-09-01,2017-10-30 00:00:00,обучен,14111333646860223792
14474819382042716420,3,2017-10-31,2018-02-04 00:00:00,отчисл,14111333646860223792
14474819382042716420,2,2018-02-05,2018-08-31 00:00:00,обучен,6502627360976124984
14474819382042716420,3,2018-09-01,2018-09-01 00:00:00,обучен,6502627360976124984
14474819382042716420,3,2018-09-02,2018-10-31 00:00:00,обучен,6502627360976124984
14474819382042716420,3,2018-11-01,2019-08-31 00:00:00,отчисл,6502627360976124984
14474819382042716420,1,2019-09-01,2020-08-31 00:00:00,обучен,12049371784134624894
14474819382042716420,2,2020-09-01,2020-12-30 00:00:00,обучен,12049371784134624894
14474819382042716420,2,2020-12-31,2021-04-07 00:00:00,обучен,12049371784134624894
14474819382042716420,2,2021-04-08,2022-04-07 00:00:00,академ,12049371784134624894
2511883703504010572,2,2017-09-01,2018-04-03 00:00:00,обучен,690883984074650052
4105600253089780723,2,2017-09-01,2017-10-03 00:00:00,обучен,5238507053872376832
5020013972034931092,1,2019-09-01,2020-08-31 00:00:00,обучен,17903959454840556963
5020013972034931092,2,2020-09-01,2020-11-05 00:00:00,обучен,17903959454840556963
5020013972034931092,2,2020-11-06,2021-08-31 00:00:00,академ,17903959454840556963
5780660784406087353,1,2017-09-01,2018-08-31 00:00:00,обучен,5238507053872376832
5780660784406087353,2,2018-09-01,2019-03-03 00:00:00,обучен,5238507053872376832
14987580189789926019,1,2018-09-01,2019-08-31 00:00:00,обучен,1871881558734096666
14987580189789926019,2,2019-09-01,2019-12-29 00:00:00,обучен,1871881558734096666
14987580189789926019,2,2019-12-30,2020-08-31 00:00:00,обучен,1871881558734096666
14987580189789926019,3,2020-09-01,2020-09-01 00:00:00,обучен,1871881558734096666
14987580189789926019,3,2020-09-02,2021-08-31 00:00:00,обучен,1871881558734096666
8678962302226006639,2,2017-09-01,2017-11-28 00:00:00,обучен,14125390921141592015
3882936577600782419,2,2017-09-01,2018-08-31 00:00:00,обучен,2350409269897364220
3882936577600782419,3,2018-09-01,2018-09-01 00:00:00,обучен,2350409269897364220
3882936577600782419,2,2018-09-02,2019-04-18 00:00:00,обучен,12199257118377959988
3882936577600782419,2,2019-04-19,2019-08-31 00:00:00,академ,12199257118377959988
3882936577600782419,2,2019-09-01,2020-06-04 00:00:00,обучен,7202649173769482940
3882936577600782419,2,2020-06-05,2021-08-31 00:00:00,отчисл,7202649173769482940
10075765262002751042,2,2018-07-10,2018-08-31 00:00:00,отчисл,18446744073709551615
10075765262002751042,1,2018-09-01,2019-08-31 00:00:00,обучен,7653827751193691771
10075765262002751042,2,2019-09-01,2019-11-04 00:00:00,обучен,7653827751193691771
10075765262002751042,2,2019-11-05,2020-08-31 00:00:00,отчисл,7653827751193691771
10075765262002751042,2,2020-09-01,2021-08-31 00:00:00,обучен,7503493711579539790
6358239658970494392,2,2017-09-01,2018-08-31 00:00:00,обучен,17239819310772696874
6358239658970494392,3,2018-09-01,2018-09-01 00:00:00,обучен,17239819310772696874
6358239658970494392,3,2018-09-02,2019-05-22 00:00:00,обучен,17239819310772696874
15000961033590122060,1,2017-09-01,2017-09-01 00:00:00,обучен,7432011864087186134
15000961033590122060,1,2017-09-02,2018-08-31 00:00:00,обучен,7432011864087186134
15000961033590122060,2,2018-09-01,2019-02-17 00:00:00,обучен,7432011864087186134
13171293400820863451,3,2017-09-01,2018-02-13 00:00:00,обучен,12090405332693229414
13171293400820863451,3,2018-02-14,2018-08-31 00:00:00,отчисл,12090405332693229414
13171293400820863451,1,2018-09-01,2019-08-31 00:00:00,обучен,7202649173769482940
13171293400820863451,2,2019-09-01,2019-12-29 00:00:00,обучен,7202649173769482940
13171293400820863451,2,2019-12-30,2020-08-31 00:00:00,обучен,7202649173769482940
13171293400820863451,3,2020-09-01,2021-08-31 00:00:00,обучен,7202649173769482940
9942742717991996765,2,2017-09-01,2018-12-09 00:00:00,обучен,5238507053872376832
11233948195764538260,2,2017-09-01,2018-08-31 00:00:00,обучен,5238507053872376832
11233948195764538260,3,2018-09-01,2018-11-13 00:00:00,обучен,5238507053872376832
894502649105671518,1,2017-09-01,2018-04-19 00:00:00,обучен,15833003524372215010
24200313584652851,1,2017-09-01,2018-04-14 00:00:00,обучен,247541128225053700
2373631810431433917,2,2017-09-01,2018-05-24 00:00:00,обучен,456834837311593885
1168397346823437163,1,2017-09-01,2018-08-31 00:00:00,обучен,13274724482236486041
1168397346823437163,2,2018-09-01,2018-09-01 00:00:00,обучен,13274724482236486041
1168397346823437163,2,2018-09-02,2019-08-31 00:00:00,обучен,13274724482236486041
1168397346823437163,3,2019-09-01,2019-10-06 00:00:00,обучен,13274724482236486041
13460949385922421297,2,2017-09-01,2018-04-19 00:00:00,обучен,4244733656765525176
6063523678596153375,1,2017-09-01,2018-08-31 00:00:00,обучен,5936399612770925421
6063523678596153375,2,2018-09-01,2019-08-31 00:00:00,обучен,5936399612770925421
6063523678596153375,3,2019-09-01,2019-12-19 00:00:00,обучен,5936399612770925421
6063523678596153375,3,2019-12-20,2020-02-04 00:00:00,отчисл,5936399612770925421
6063523678596153375,2,2020-02-05,2020-08-31 00:00:00,обучен,1278215119866583870
6063523678596153375,3,2020-09-01,2020-11-22 00:00:00,обучен,1278215119866583870
1515169183550908206,2,2017-09-01,2017-09-01 00:00:00,обучен,14021825321935117523
1515169183550908206,2,2017-09-02,2018-08-31 00:00:00,обучен,8912727310231304513
1515169183550908206,3,2018-09-01,2019-08-31 00:00:00,обучен,8912727310231304513
1515169183550908206,4,2019-09-01,2019-12-15 00:00:00,обучен,8912727310231304513
17779879049241008360,2,2017-09-01,2018-08-31 00:00:00,обучен,5904902358656600775
17779879049241008360,3,2018-09-01,2019-08-31 00:00:00,обучен,5904902358656600775
17779879049241008360,4,2019-09-01,2020-08-30 00:00:00,обучен,5904902358656600775
12879747803352560431,2,2017-09-01,2018-08-31 00:00:00,обучен,11458847994583617197
12879747803352560431,3,2018-09-01,2018-11-13 00:00:00,обучен,11458847994583617197
12879747803352560431,3,2018-11-14,2019-08-31 00:00:00,отчисл,11458847994583617197
12879747803352560431,3,2019-09-01,2020-05-27 00:00:00,обучен,11458847994583617197
8063837649556364116,2,2017-09-01,2018-08-31 00:00:00,обучен,13426219183408188098
8063837649556364116,3,2018-09-01,2019-08-31 00:00:00,обучен,13426219183408188098
8063837649556364116,4,2019-09-01,2019-11-21 00:00:00,обучен,13426219183408188098
14699340685409984245,1,2018-09-01,2019-08-31 00:00:00,обучен,3299769316445740287
14699340685409984245,2,2019-09-01,2019-10-31 00:00:00,обучен,3299769316445740287
4492811220663443984,2,2017-09-01,2018-08-31 00:00:00,обучен,11458847994583617197
4492811220663443984,3,2018-09-01,2019-04-02 00:00:00,обучен,11458847994583617197
4492811220663443984,3,2019-04-03,2019-08-31 00:00:00,обучен,11458847994583617197
4492811220663443984,4,2019-09-01,2019-12-29 00:00:00,обучен,11458847994583617197
4492811220663443984,4,2019-12-30,2020-08-30 00:00:00,обучен,11458847994583617197
9641960280754104695,2,2017-09-01,2017-10-26 00:00:00,обучен,13426219183408188098
8802273191245789422,1,2017-09-01,2018-08-31 00:00:00,обучен,1351844695490460707
8802273191245789422,2,2018-09-01,2018-11-15 00:00:00,обучен,1351844695490460707
8802273191245789422,2,2018-11-16,2019-08-31 00:00:00,отчисл,1351844695490460707
8802273191245789422,2,2019-09-01,2020-06-07 00:00:00,обучен,7653827751193691771
8802273191245789422,2,2020-06-08,2021-06-07 00:00:00,академ,7653827751193691771
16987260701629138421,2,2017-09-01,2017-11-30 00:00:00,обучен,11458847994583617197
4070461746785020090,2,2017-09-01,2018-08-31 00:00:00,обучен,11458847994583617197
4070461746785020090,3,2018-09-01,2019-08-31 00:00:00,обучен,11458847994583617197
4070461746785020090,4,2019-09-01,2019-11-14 00:00:00,обучен,11458847994583617197
16671609168069158061,4,2017-09-01,2018-05-03 00:00:00,обучен,12976184935596749994
4840610575658562214,4,2017-09-01,2017-12-03 00:00:00,обучен,12976184935596749994
7890065150679523948,4,2017-09-01,2018-05-03 00:00:00,обучен,12976184935596749994
5126860810415245036,4,2017-09-01,2018-05-03 00:00:00,обучен,12976184935596749994
3564737504067897907,4,2017-09-01,2018-05-03 00:00:00,обучен,12976184935596749994
5418862640348056864,4,2017-09-01,2017-12-12 00:00:00,обучен,12976184935596749994
13565116024626441389,4,2017-09-01,2018-05-03 00:00:00,обучен,12976184935596749994
1853334471806490068,2,2017-09-01,2018-04-26 00:00:00,обучен,690883984074650052
1853334471806490068,2,2018-04-27,2018-08-31 00:00:00,отчисл,690883984074650052
1853334471806490068,2,2018-09-01,2019-02-07 00:00:00,обучен,1351844695490460707
1048700924256198860,2,2017-09-01,2018-08-31 00:00:00,обучен,2825855431118813924
1048700924256198860,3,2018-09-01,2018-09-01 00:00:00,обучен,2825855431118813924
1048700924256198860,3,2018-09-02,2019-04-29 00:00:00,обучен,2825855431118813924
1048700924256198860,3,2019-04-30,2019-08-31 00:00:00,обучен,2825855431118813924
1048700924256198860,4,2019-09-01,2019-12-29 00:00:00,обучен,2825855431118813924
1048700924256198860,4,2019-12-30,2020-08-30 00:00:00,обучен,2825855431118813924
11802436569207283434,2,2017-09-01,2018-02-04 00:00:00,обучен,690883984074650052
11802436569207283434,1,2018-02-05,2018-08-31 00:00:00,обучен,5238507053872376832
11802436569207283434,2,2018-09-01,2019-04-14 00:00:00,обучен,5238507053872376832
2789974128004630536,2,2017-09-01,2018-08-31 00:00:00,обучен,7302235559458623679
2789974128004630536,3,2018-09-01,2019-08-31 00:00:00,обучен,7302235559458623679
2789974128004630536,4,2019-09-01,2020-08-30 00:00:00,обучен,7302235559458623679
15954076412698052901,2,2017-09-01,2018-08-31 00:00:00,обучен,11714278387273585275
15954076412698052901,3,2018-09-01,2019-05-27 00:00:00,обучен,11714278387273585275
15954076412698052901,3,2019-05-28,2019-08-31 00:00:00,обучен,11714278387273585275
15954076412698052901,4,2019-09-01,2019-12-29 00:00:00,обучен,11714278387273585275
15954076412698052901,4,2019-12-30,2020-08-30 00:00:00,обучен,11714278387273585275
16165499168255765323,2,2017-09-01,2018-03-11 00:00:00,обучен,8468096058207029819
12157432583256970911,1,2019-09-01,2019-12-18 00:00:00,обучен,4652478461117010105
12157432583256970911,1,2019-12-19,2020-08-11 00:00:00,академ,4652478461117010105
10368816707856176514,2,2017-09-01,2018-08-31 00:00:00,обучен,6643861910338834528
10368816707856176514,3,2018-09-01,2018-12-24 00:00:00,обучен,6643861910338834528
10368816707856176514,2,2018-12-25,2019-02-03 00:00:00,отчисл,6643861910338834528
10368816707856176514,2,2019-02-04,2019-08-31 00:00:00,обучен,3810796995208854163
10368816707856176514,3,2019-09-01,2020-06-28 00:00:00,обучен,3810796995208854163
11381247488175550868,2,2017-09-01,2018-05-17 00:00:00,обучен,690883984074650052
11381247488175550868,2,2018-05-18,2018-08-31 00:00:00,отчисл,690883984074650052
11381247488175550868,2,2018-09-01,2018-10-07 00:00:00,обучен,1351844695490460707
7435209558648923572,2,2017-09-01,2017-10-29 00:00:00,обучен,8912727310231304513
